,symbol
650,KCNMA1
651,CCR9
652,HTR1A
653,HTR1B
654,HTR1A
655,GLRB
656,CYSLTR1
657,CYSLTR2
658,FPR1
659,HSP90AA1
660,PTGDR
661,CYSLTR1
662,TPO
663,HTR1B
664,AKR1B1
665,ADRB1
666,NR3C1
667,CNR1
668,L3MBTL3
669,GNRHR
670,CACNA1G
671,CACNA1H
672,CACNA1I
673,CACNA1G
674,SCN10A
675,SCN11A
676,SCN1A
677,SCN2A
678,SCN3A
679,SCN4A
680,SCN5A
681,SCN7A
682,SCN8A
683,SCN9A
684,SCN10A
685,AGTR1
686,ADRB2
687,ITGA4
688,ALAD
689,GLRA2
690,GRIN1
691,GRIN2A
692,GRIN2B
693,GRIN2C
694,GRIN2D
695,GLRA2
696,ADRA1A
697,ADRA1B
698,ADRA1D
699,DRD2
700,HRH1
701,HTR2C
702,HTR6
703,ADRA1A
704,ADORA1
705,CASR
706,IDO1
707,SLC36A1
708,WARS
709,WARS2
710,CASR
711,HRH1
712,HTR2A
713,HTR2C
714,HRH1
715,CHRNA1
716,GABRA1
717,CHRNA4
718,CHRNB2
719,CHRNA4
720,ADRB1
721,ADRB2
722,HTR1A
723,HTR1B
724,ADRB1
725,SCN5A
726,ADRA1A
727,CALM1
728,CALY
729,DRD2
730,DRD4
731,HRH1
732,HTR2A
733,HTR2C
734,S100A4
735,TNNC1
736,ADRA1A
737,ATP4A
738,ATP4B
739,ATP4A
740,GNRHR
741,ADRA1A
742,ADRA1B
743,ADRA1D
744,KCNH2
745,KCNH6
746,KCNH7
747,ADRA1A
748,KCNN4
749,HRH1
750,TGFB1
751,ACHE
752,DRD2
753,ACHE
754,ADORA1
755,AR
756,ADORA1
757,CHRM1
758,TERT
759,ACE
760,ACE2
761,ACE
762,PARP1
763,DRD2
764,GRIN2A
765,GRIN2B
766,GRIN2C
767,GRIN2D
768,GRIN3A
769,DRD2
770,ADRA1A
771,ADRA1B
772,ADRA2A
773,ADRA2B
774,ADRA2C
775,ADRB1
776,ADRB2
777,ADRB3
778,CHRM1
779,CHRM2
780,CHRM3
781,CHRM4
782,CHRM5
783,DRD1
784,DRD2
785,DRD3
786,DRD4
787,DRD5
788,GABRA1
789,GABRA2
790,GABRA3
791,GABRA4
792,GABRA5
793,GABRA6
794,GABRB1
795,GABRB2
796,GABRB3
797,GABRD
798,GABRE
799,GABRG1
