,symbol
550,FLT1
551,KDR
552,KIT
553,PDGFRA
554,PDGFRB
555,RET
556,FGFR1
557,AOX1
558,BGLAP
559,F10
560,F2
561,F7
562,F9
563,GGCX
564,NQO1
565,NQO2
566,PROC
567,PROS1
568,PROZ
569,VKORC1
570,VKORC1L1
571,AOX1
572,AURKA
573,AURKB
574,AURKC
575,AURKA
576,CDK1
577,RPS6KB1
578,CDK1
579,MTOR
580,PIK3CA
581,MTOR
582,NFKB1
583,ERBB2
584,PRKCA
585,PRKCB
586,PRKCD
587,PRKCE
588,PRKCG
589,PRKCA
590,G6PD
591,PIK3CA
592,PIK3CG
593,PIK3CA
594,NR3C1
595,SERPINA6
596,NR3C1
597,TNFSF10
598,GSK3A
599,GSK3B
600,GSK3A
601,EDNRA
602,CYP2B6
603,IKBKB
604,KCNT2
605,TRPV4
606,KCNT2
607,JAK2
608,VDR
609,CSF1
610,FLT1
611,FLT4
612,KDR
613,PLK4
614,CSF1
615,KIT
616,PDGFRA
617,PDGFRB
618,KIT
619,ADRA1A
620,ADRA1B
621,DRD1
622,DRD2
623,HTR1A
624,HTR2A
625,ADRA1A
626,MET
627,TOP2A
628,SELP
629,DHODH
630,CYP3A4
631,ACTB
632,NOS2
633,PPARG
634,NOS2
635,PTK2
636,TNKS
637,TNKS2
638,TNKS
639,CHEK1
640,MARK3
641,PDPK1
642,CHEK1
643,ABL1
644,BCR
645,ABL1
646,CA1
647,CA12
648,CA14
649,CA2
650,CA6
651,CA7
652,CA9
653,CA1
654,KDR
655,AKR1C3
656,ANO1
657,AR
658,GJA1
659,GJA10
660,GJA3
661,GJA4
662,GJA5
663,GJA8
664,GJA9
665,GJB1
666,GJB2
667,GJB3
668,GJB4
669,GJB5
670,GJB6
671,GJB7
672,GJC1
673,GJC2
674,GJC3
675,GJD2
676,GJD3
677,GJD4
678,GJE1
679,PANX1
680,PANX2
681,PANX3
682,PKD2L1
683,PTGS1
684,PTGS2
685,TRPC5
686,TRPM2
687,TRPM5
688,AKR1C3
689,BTK
690,ABL1
691,LCK
692,SRC
693,YES1
694,ABL1
695,DRD2
696,DRD3
697,DRD4
698,HTR1A
699,HTR7
700,DRD2
701,ATP1A1
702,MDM2
703,TP53
704,MDM2
705,CMPK1
706,RRM1
707,RRM2
708,TYMS
709,CMPK1
710,HDAC10
711,HDAC3
712,HDAC10
713,AURKA
714,AURKB
715,AURKC
716,CYP2D6
717,CYP3A4
718,AURKA
719,HSPB1
720,MAPK14
721,HSPB1
722,TOP1
723,TUBB
724,OPRK1
725,PGD
726,POLA2
727,PGD
728,DPP4
729,TUBA1A
730,TUBB
731,TUBB4B
732,TUBA1A
733,TUBA4A
734,TUBB
735,TUBB1
736,TUBA4A
737,HDAC1
738,HDAC2
739,HDAC3
740,HDAC6
741,HDAC8
742,HDAC1
743,CDK1
744,CDK2
745,CDK7
746,GSK3B
747,IKBKB
748,CDK1
749,PTK2
750,HRH1
751,TOP1
752,TUBB
753,TUBB1
754,TUBB
755,NAE1
756,UBA3
757,NAE1
758,EHMT2
759,ATP1A1
760,FGFR1
761,FGFR2
762,FGFR3
763,FGFR4
764,IGF1R
765,KDR
766,FGFR1
767,AKT1
768,AKT2
769,AKT3
770,AKT1
771,CCNB1
772,CDK1
773,CDK5
774,GSK3B
775,CCNB1
776,ACACA
777,ACACB
778,ACACA
779,ABCC8
780,KCNJ10
781,KCNJ11
782,ABCC8
783,CMA1
784,CTSG
785,CYP3A4
786,ELANE
787,CMA1
788,CTSB
789,CTSD
790,CTSL
791,REN
792,CTSB
793,KCNH2
794,TOP2A
795,KCNH2
796,OPRL1
797,PARP2
798,VDR
799,AKT1
800,EGFR
801,ERBB2
802,ERBB4
803,AKT1
804,EGFR
805,ERBB2
806,ERBB4
807,EGFR
808,CSK
809,KDR
810,KIT
811,RET
812,CSK
813,DPP4
814,ICAM1
815,CNR1
816,GPR119
817,GPR55
818,PPARA
819,CNR1
820,PTPN1
821,HRH1
822,CHEK1
823,CHEK2
824,CHEK1
825,MAN2A1
826,KDR
827,SRC
828,KDR
829,HSP90AA1
830,HSP90AB1
831,HSP90AA1
832,MTOR
833,DRD1
834,DRD2
835,DRD1
836,EGFR
837,TRPV1
838,CDK1
839,CDK2
840,CDK7
841,CDK9
842,FLT3
843,JAK2
844,CDK1
845,FGFR1
846,FGFR2
847,FGFR3
848,FGFR4
849,FLT1
850,FLT4
851,KDR
852,PDGFRA
853,PDGFRB
854,FGFR1
855,TUBB
856,FLT1
857,FLT4
858,KDR
859,MET
860,FLT1
861,EGFR
862,ERBB2
863,KDR
864,EGFR
865,XPO1
866,KDR
867,KIT
868,KDR
869,NAMPT
870,EGFR
871,GABRA1
872,GABRA2
873,GABRA3
874,GABRA4
875,GABRA5
876,GABRA6
877,GABRA1
878,ADRA2A
879,ATM
880,ATR
881,MTOR
882,PIK3CG
883,ATM
884,TUBB
885,AVPR1A
886,AVPR1B
887,AVPR2
888,AVPR1A
889,CACNA1C
890,SLC6A3
891,REN
892,RET
893,SYK
894,RET
895,WEE1
896,PGR
897,PDE3A
898,HDAC1
899,HDAC6
900,HDAC1
901,IMPDH1
902,IGF1R
903,INSR
904,IGF1R
905,SLC6A2
906,SLC6A3
907,SLC6A4
908,SLC6A2
909,SLC5A2
910,AKT1
911,PKIA
912,PRKACA
913,AKT1
914,CDK1
915,CDK2
916,CDK5
917,CDK6
918,CDK1
919,ALK
920,EGFR
921,ALK
922,MTOR
923,PIK3CA
924,MTOR
925,MTOR
926,PSMB1
927,IGF1R
928,TOP2A
929,TUBA4A
930,TUBB
931,IGF1R
932,OPRD1
933,OPRK1
934,OPRM1
935,OPRD1
936,PLK1
937,ADORA2B
938,ADORA3
939,ADORA2B
940,TGFBR1
941,LPAR1
942,LPAR3
943,LPAR1
944,HBE1
945,HBG1
946,HBE1
947,AR
948,NR3C2
949,PGR
950,AR
951,FGF2
952,FKBP1A
953,MTOR
954,FGF2
955,NR3C1
956,PLA2G1B
957,NR3C1
958,CETP
959,COL1A1
960,MMP2
961,COL1A1
962,EGFR
963,ERBB2
964,ERBB3
965,EGFR
966,HTR2A
967,HDAC1
968,ALK
969,EGFR
970,ALK
971,GPBAR1
972,GABRA1
973,GABRA2
974,GABRA3
975,GABRA4
976,GABRA5
977,GABRA6
978,GABRB1
979,GABRB2
980,GABRB3
981,GABRD
982,GABRE
983,GABRG1
984,GABRG2
985,GABRG3
986,GABRP
987,GABRQ
988,TSPO
989,GABRA1
990,ATP4A
991,ATP4B
992,ATP4A
993,TRHR
994,CYP27B1
995,VDR
996,CYP27B1
997,VDR
998,BCL2
999,BCL2L1
1000,BCL2L2
1001,BCL2
1002,CASP1
1003,ADRB2
1004,CDK1
1005,CDK2
1006,CDK4
1007,CDK5
1008,CDK7
1009,CDK9
1010,CDK1
1011,TUBB
1012,CSF1R
1013,FLT3
1014,KIT
1015,PDGFD
1016,PDGFRB
1017,CSF1R
1018,ALOX5
1019,GLO1
1020,PREP
1021,SELL
1022,SELP
1023,TNF
1024,XDH
1025,ALOX5
1026,HMGCR
1027,ITGB2
1028,HMGCR
1029,HSP90AA1
1030,MMP8
1031,FLT3
1032,PRKCG
1033,FLT3
1034,GRM4
1035,MTOR
1036,AKT1
1037,GSK3B
1038,LCK
1039,MAPK1
1040,MAPK11
1041,MAPK12
1042,MAPK14
1043,MAPK8
1044,PRKCA
1045,ROCK1
1046,RPS6KB1
1047,SIRT1
1048,AKT1
1049,PIK3CA
1050,PIK3CB
1051,PIK3CD
1052,PIK3CG
1053,PIK3CA
1054,MTOR
1055,PIK3CA
1056,PIK3CB
1057,PIK3CD
1058,PIK3CG
1059,MTOR
1060,ALK
1061,MET
1062,ALK
1063,MTOR
1064,PASK
1065,MTOR
1066,CYP3A4
1067,PKD2
1068,TRPC1
1069,TRPC3
1070,TRPC4
1071,TRPC5
1072,TRPV2
1073,CYP3A4
1074,BRAF
1075,TOP2A
1076,TOP2B
1077,TOP2A
1078,HCK
1079,RET
1080,HCK
1081,VDAC2
1082,CYP3A4
1083,CYP3A5
1084,CYP3A7
1085,POU2F2
1086,UGT1A1
1087,CYP3A4
1088,SLC19A2
1089,SLC19A3
1090,TPK1
1091,SLC19A2
1092,PAK4
1093,MTOR
1094,PIK3CA
1095,MTOR
1096,HRH1
1097,IGF1R
1098,INSR
1099,IGF1R
1100,TOP2A
1101,BRD2
1102,BRD3
1103,BRD4
1104,BRD2
1105,ACVR1
1106,CYP1A1
1107,CYP1A2
1108,CYP2A13
1109,CYP2A6
1110,CYP3A4
1111,CYP1A1
1112,JAK2
1113,JAK3
1114,JAK2
1115,AURKA
1116,AURKB
1117,AURKC
1118,LCK
1119,AURKA
1120,BCL2
1121,ADAM28
1122,ADAMTS5
1123,MMP12
1124,MMP16
1125,MMP2
1126,MMP8
1127,ADAM28
1128,MTOR
1129,TOP1
1130,EGFR
1131,ROCK1
1132,ALK
1133,INSR
1134,ALK
1135,MET
1136,ACHE
1137,RARA
1138,RARB
1139,RARG
1140,RXRA
1141,RXRB
1142,RXRG
1143,RARA
1144,AURKA
1145,AURKB
1146,AURKC
1147,AURKA
1148,MTOR
1149,PIK3CA
1150,PIK3CB
1151,PIK3CD
1152,PIK3CG
1153,PRKDC
1154,MTOR
1155,CXCR2
1156,TOP1
1157,BRD4
1158,BRDT
1159,BRD4
1160,TOP1
1161,TOP1MT
1162,TOP1
1163,EGFR
1164,NR3C1
1165,SERPINA6
1166,NR3C1
1167,BRAF
1168,TUBA1A
1169,TUBB
1170,TUBB4B
1171,TUBA1A
1172,FLT1
1173,FLT4
1174,KDR
1175,KIT
1176,PDGFRA
1177,PDGFRB
1178,FLT1
1179,CHEK1
1180,CHEK2
1181,CHEK1
1182,GPR119
1183,EGFR
1184,ERBB2
1185,EGFR
1186,TERT
1187,NR3C1
1188,EGFR
1189,ERBB2
1190,ERBB4
1191,FGFR2
1192,FGFR3
1193,KDR
1194,EGFR
1195,FNTA
1196,FNTB
1197,FNTA
