,feature_name
158,sensitivity_BRD-A16665823-001-02-0::2.5::HTS
159,sensitivity_BRD-A16694057-001-06-8::2.5::HTS
160,sensitivity_BRD-A16700644-003-04-4::2.5::HTS
161,sensitivity_BRD-A16997652-001-02-3::2.5::HTS
162,sensitivity_BRD-A17300716-001-01-5::2.5::HTS
163,sensitivity_BRD-A17407635-001-04-0::2.5::HTS
164,sensitivity_BRD-A17411484-001-11-9::2.5::HTS
165,sensitivity_BRD-A17428743-003-09-0::2.5::HTS
166,sensitivity_BRD-A17453586-003-02-3::2.5::HTS
167,sensitivity_BRD-A17462676-003-11-6::2.5::HTS
168,sensitivity_BRD-A17655518-001-24-4::2.5::HTS
169,sensitivity_BRD-A17846016-001-13-9::2.5::HTS
170,sensitivity_BRD-A17883755-001-06-1::2.5::HTS
171,sensitivity_BRD-A18043272-001-09-9::2.5::HTS
172,sensitivity_BRD-A18056626-003-22-3::2.5::HTS
173,sensitivity_BRD-A18074780-003-02-0::2.5::HTS
174,sensitivity_BRD-A18233884-003-02-7::2.5::HTS
175,sensitivity_BRD-A18396475-001-15-3::2.56::HTS
176,sensitivity_BRD-A18611368-001-01-5::2.5::HTS
177,sensitivity_BRD-A18627414-001-04-9::2.5::HTS
178,sensitivity_BRD-A18696154-003-22-6::2.5::HTS
179,sensitivity_BRD-A18763547-300-05-5::2.5::HTS
180,sensitivity_BRD-A18795974-004-07-3::2.5::HTS
181,sensitivity_BRD-A19102171-066-01-4::2.5::HTS
182,sensitivity_BRD-A19195498-050-14-1::2.5::HTS
183,sensitivity_BRD-A19585813-003-03-3::2.5::HTS
184,sensitivity_BRD-A19633847-050-32-1::2.5::HTS
185,sensitivity_BRD-A19661776-003-27-6::2.5::HTS
186,sensitivity_BRD-A19736161-001-06-7::2.5::HTS
187,sensitivity_BRD-A19795905-001-08-0::2.5::HTS
188,sensitivity_BRD-A19952358-001-11-3::2.5::HTS
189,sensitivity_BRD-A19958636-065-04-4::2.5::HTS
190,sensitivity_BRD-A20119038-003-07-8::2.5::HTS
191,sensitivity_BRD-A20239487-001-24-9::2.5::HTS
192,sensitivity_BRD-A20348246-001-15-8::2.5::HTS
193,sensitivity_BRD-A20550616-001-02-9::2.5::HTS
194,sensitivity_BRD-A20644369-001-08-6::2.5::HTS
195,sensitivity_BRD-A20758144-001-04-5::2.5::HTS
196,sensitivity_BRD-A20781140-001-01-7::2.5::HTS
197,sensitivity_BRD-A20839672-003-01-5::2.5::HTS
198,sensitivity_BRD-A21276153-001-01-1::2.5::HTS
199,sensitivity_BRD-A21607826-003-05-1::2.5::HTS
200,sensitivity_BRD-A21858158-001-23-5::2.5::HTS
201,sensitivity_BRD-A22032524-074-06-5::2.5::HTS
202,sensitivity_BRD-A22081593-001-11-1::2.5::HTS
203,sensitivity_BRD-A22106989-001-05-0::2.5::HTS
204,sensitivity_BRD-A22143024-231-03-8::2.5::HTS
205,sensitivity_BRD-A22152765-003-10-0::2.5::HTS
206,sensitivity_BRD-A22256192-003-22-7::2.5::HTS
207,sensitivity_BRD-A22267103-003-13-1::2.5::HTS
208,sensitivity_BRD-A22305049-003-13-6::2.5::HTS
209,sensitivity_BRD-A22380646-236-05-8::2.51::HTS
210,sensitivity_BRD-A22642447-001-01-9::2.5::HTS
211,sensitivity_BRD-A22707317-001-10-8::2.5::HTS
212,sensitivity_BRD-A22769835-300-05-7::2.5::HTS
213,sensitivity_BRD-A22844106-001-26-0::2.5::HTS
214,sensitivity_BRD-A23067620-300-01-3::2.5::HTS
215,sensitivity_BRD-A23072235-050-18-5::2.5::HTS
216,sensitivity_BRD-A23127772-001-02-3::2.5::HTS
217,sensitivity_BRD-A23359898-003-10-0::2.5::HTS
218,sensitivity_BRD-A23603052-001-03-2::2.5::HTS
219,sensitivity_BRD-A24122750-001-03-7::2.5::HTS
220,sensitivity_BRD-A24191444-046-02-1::2.5::HTS
221,sensitivity_BRD-A24191444-046-03-9::2.4::HTS
222,sensitivity_BRD-A24228527-213-01-9::2.5::HTS
223,sensitivity_BRD-A24284985-001-09-9::2.5::HTS
224,sensitivity_BRD-A24297246-001-03-9::2.5::HTS
225,sensitivity_BRD-A24397426-001-10-4::2.5::HTS
226,sensitivity_BRD-A24514565-001-09-7::2.5::HTS
227,sensitivity_BRD-A24543851-001-05-7::2.5::HTS
228,sensitivity_BRD-A24560335-300-01-2::2.5::HTS
229,sensitivity_BRD-A24587114-066-22-5::2.5::HTS
230,sensitivity_BRD-A25004090-001-08-4::2.5::HTS
231,sensitivity_BRD-A25143711-001-02-2::2.5::HTS
232,sensitivity_BRD-A25234499-001-18-3::2.5::HTS
233,sensitivity_BRD-A25569250-001-03-3::2.5::HTS
234,sensitivity_BRD-A25608658-001-01-1::2.5::HTS
235,sensitivity_BRD-A25619068-003-03-4::2.5::HTS
236,sensitivity_BRD-A25687296-300-04-3::2.5::HTS
237,sensitivity_BRD-A25800195-001-02-2::2.5::HTS
238,sensitivity_BRD-A26032986-050-02-1::2.5::HTS
239,sensitivity_BRD-A26334849-001-06-2::2.5::HTS
240,sensitivity_BRD-A26384407-001-25-1::2.5::HTS
241,sensitivity_BRD-A26387268-050-04-4::2.5::HTS
242,sensitivity_BRD-A26503646-001-16-6::2.5::HTS
243,sensitivity_BRD-A26690767-066-01-9::2.5::HTS
244,sensitivity_BRD-A26711594-003-10-6::2.5::HTS
245,sensitivity_BRD-A26845397-051-01-9::2.5::HTS
246,sensitivity_BRD-A27143604-001-02-0::2.5::HTS
247,sensitivity_BRD-A27290375-330-01-1::2.5::HTS
248,sensitivity_BRD-A27370296-001-03-0::2.5::HTS
