,ghi
CD6,0.0840642647885
TACC3,5.02014657311
UFL1,4.1984941536400004
POLA2,4.85449441815
ZC3H3,3.71589337055
CAPN1,5.15015345525
ACPP,0.111031312389
MDH1,7.998928852230001
SLC30A9,4.93875626149
MTMR11,2.1440463696200003
COX15,5.35049724708
CCDC88C,1.7048719644600001
YAF2,3.2824398050099997
ZMYND11,3.3881895371599997
WAS,0.13750352375
DPEP1,0.799087306074
BID,2.3868109464700002
MATR3,7.328226118789999
NPC1L1,0.0
XYLT2,3.84297883179
RGPD5,1.85199883711
STMN4,0.0
NUDCD3,4.87036471958
ISL1,0.111031312389
CHDH,0.17632277264000001
IL20RA,0.0
CLCA1,0.0
CLCA4,0.0
GLT8D1,5.35473423997
ATP2C1,5.25776496857
IGF1,1.5704629310299998
SLC38A5,1.7782085764
RALBP1,4.9321556844300005
RUFY3,4.41074812819
CNTN1,0.713695814843
SLC11A1,0.0840642647885
WWTR1,5.75167794569
AGPS,4.9015909919
CXorf56,5.17272751801
ATP1A2,0.0285691521968
TTC27,3.5933537709800003
ZNF582,1.8678964639900002
VSIG2,0.0
PHLDB1,5.21955576917
MARCO,0.0
CYP24A1,2.15704371015
PRDM11,1.5260688116699999
SYT13,0.678071905113
SNAI2,7.506922418049999
CD74,0.0
HGF,0.042644337408499995
ZRANB1,3.5873649909400003
NCDN,4.17871464118
ADGRA2,2.7782085764
ZFP64,3.2000648615099996
MNAT1,4.68369645431
SAMD4A,4.37016428054
RUNX3,1.3391373849200001
MRE11,3.8479969065499997
PLEKHB1,2.81557542886
SERPINB1,3.93357263826
CYP3A43,0.0
SLC7A9,0.0
SPAST,4.17312743348
NRXN3,0.042644337408499995
OSBPL5,0.722466024471
AQR,2.57773093149
CPS1,4.34908214639
C8B,0.0
FHL1,5.09718938724
RTF2,7.04209709504
GABRA1,0.0
NLRP2,0.0
SLC45A4,3.8196681835
RNF10,5.5348086612300005
ZNF839,3.0686708106700005
ZDHHC6,5.122258567809999
GRAMD1B,0.0
RNH1,4.8524982987900005
NDUFS1,6.42425028608
RB1CC1,5.5966370341
ERP44,3.30888505741
ALAS1,4.67638025547
BIRC3,0.111031312389
AKAP11,2.7290088703400004
GLRX2,4.823239844130001
SNAPC1,3.49313492231
DERA,6.06436554026
STRAP,6.6579257722800005
ABCC2,4.190614860209999
DEF6,0.50589092973
PLEKHO1,3.6461626571599997
GCLM,3.5933537709800003
UBR2,3.4880007708300003
EHD2,1.5109619192800001
DEPDC1,4.28095631383
CCDC28A,4.14404636962
RRAGD,4.65076455912
HSF2,3.7180875839599996
PHF20,5.673273736610001
HSD17B6,0.7739963251109999
NR1H3,3.01613970266
TYMP,1.6040713236700002
NCAPH2,5.887281551669999
TOMM34,4.36946648365
SEC63,6.149543908709999
KPNA6,3.9680907520499997
VIM,9.83182975001
FAS,3.79181407116
RNASET2,2.18269229752
CD44,8.80089989992
KCNG1,0.863938450424
AGPAT4,1.9259994185599998
SLAMF7,0.83995958749
BTN3A1,3.90110824301
MIPEP,3.53605290024
PRKCH,3.99819550315
INSRR,0.0
IFNGR1,5.2230363379
B4GALT7,4.23419472295
SH2D2A,2.4568061492299997
VRK2,4.244887059119999
TNFRSF1B,3.20163386117
VEZT,5.11436702495
POU2F2,0.23878685958700002
BRD9,4.31106710226
SNX1,6.339315572409999
TBPL1,4.83289001416
ARNTL2,0.555816155062
BCLAF1,5.928370323019999
SLC39A9,5.27835652801
ANK1,0.0285691521968
IBSP,0.0
TFB1M,3.9068905956099997
RABEP1,5.25474519763
HMGB3,5.484782623080001
NUP160,4.45680614923
BAK1,4.7933757112599995
MUSK,0.0
IKZF2,0.565597175854
GRN,8.53352441486
FAM13B,4.18348651446
ARHGAP31,1.7268312170299998
CENPQ,4.53791724903
SARS,8.416290859550001
RANBP3,5.43028527298
ARID4A,3.18903382439
EIPR1,4.5077946402
PNPLA6,4.4296159642
IFT88,3.57531233069
ALG1,4.496973581000001
ZCCHC8,4.479618608469999
ABCF2,5.21761848535
CHPF2,3.81557542886
LRRC7,0.0976107966264
FUT8,3.88655014732
UBA6,4.11436702495
GAB2,5.122258567809999
ATP6V0A1,6.22265002245
PIAS1,2.9541963103900004
SLC4A7,3.70818723602
APBA2,3.3617683594200005
MAP2K3,3.13750352375
EFCAB1,0.0
TMSB10,10.3514914093
ASTE1,2.0531113364599998
RNF19A,5.24640808725
PEX3,3.6322682155000003
GABARAPL2,5.7051485282500005
MYOC,0.0
SH3YL1,3.43028527298
FAM136A,4.94532677726
VCL,4.29425313644
DEPDC1B,4.60940039001
DAPK2,0.378511623254
NSMAF,4.893362210759999
ADSS,4.89384755813
STAP1,0.0
TIMP2,8.10087255248
RFC1,5.398829182439999
TBC1D23,4.09423606985
CUL3,6.18308946064
MYOM2,0.0
OTC,0.0
CYP46A1,0.0
ZZZ3,5.48800077083
SLC18A1,0.0
USP2,0.765534746363
CASR,0.0
TUBG2,4.18507363788
RPL26L1,6.27052894238
FLT4,0.0
NSUN2,5.35720008486
FBXO42,3.2311251578799998
MFAP3,5.5444235621899995
MRI1,2.87184364851
METTL1,4.84749588379
HOXC8,1.2630344058299998
AGA,3.9457949567400004
PI4K2B,2.6276068381299997
BOD1L1,3.9569859246099996
MAT2B,5.40633257782
TLL1,0.0285691521968
EDC4,3.48928602263
TRIO,4.32409051604
VCAN,1.63691458036
CLEC16A,3.0391383939099996
MSR1,0.0
CDH1,4.78816365704
MTREX,5.954428984369999
DNAH5,0.0285691521968
ZFYVE16,5.82323984413
RIPOR1,3.5447326559300008
C6,0.0
RAI14,4.1937717434
SOX30,0.0143552929771
PNKP,5.398145116499999
BEST2,0.0143552929771
PHLPP2,0.799087306074
SPDL1,4.78135971352
STAU2,5.50747752952
PQLC2,3.8042601156300004
CTNS,4.228049047880001
RTN4R,3.6264391367
PHF23,5.5046203924
CDH10,0.12432813500199999
INPP4A,2.99457972422
RAB27B,0.0143552929771
PSMA4,8.111761658839999
MYO16,0.12432813500199999
LSG1,4.4053116826
PARP3,2.61588707392
TNC,0.042644337408499995
THAP3,4.236492618380001
RIPOR3,0.0143552929771
TDP1,3.8649289722900004
AIFM2,3.91456452349
C2orf83,0.0
SPATA7,0.8479969065549999
MED17,4.01346225981
RETSAT,5.012568673500001
CAPG,3.52481592836
AP2S1,7.76228236722
USH2A,0.042644337408499995
ZPBP,0.0
TG,0.0143552929771
ADAM28,0.163498732283
BARX2,0.0
DCUN1D1,4.12184429788
JADE2,4.53605290024
ZIC2,0.21412480535300002
LCP2,0.0840642647885
TRIT1,4.7484612330000004
ADRB1,0.0143552929771
GUCA2B,0.0
CUL7,3.9909548604
CTNNA1,6.933454611910001
PHKA2,2.61353165292
CNTLN,1.75702324651
EPHA3,0.12432813500199999
HSPA5,7.60969587286
DSG2,5.40156220726
GEMIN8,4.28392177231
OFD1,2.4620523188
GPM6B,8.39810235161
MAGEC2,0.0
PREX2,0.545968369105
WDR37,1.61353165292
YTHDC2,3.4502214958999997
CTPS2,0.0143552929771
ATP6V1H,7.3357476343
POLR2B,6.199476046440001
FAM214A,3.5147534984400006
ARAP2,0.0703893278914
TPR,5.63314054952
CP,0.34482849699699997
KIAA0556,2.23266075679
DTNBP1,4.08576455378
XK,0.13750352375
ANO2,0.0
C12orf4,3.7739963251099997
SCML1,1.58014548442
WWC3,2.88166461932
ARHGAP6,0.53605290024
FAM184B,0.516015147004
MAP4,6.5552026338800005
GOPC,4.46532151358
ROS1,0.0
USP28,4.097610796630001
HDAC9,1.94110631095
TSPAN17,4.5625477242
NOP16,5.769507291440001
CC2D2A,4.173926932
RRM2B,5.46630082918
ZNF800,3.1969217338200004
TNFRSF17,0.0
SNX29,1.8114710305300001
LMO3,0.53605290024
MRPS10,5.5993177937
GUCA1A,0.0
RSF1,4.05137210172
VPS13D,2.55826763406
CELF2,0.13750352375
FAM120A,4.18428029442
R3HDM1,4.1366835776999995
COL9A2,0.575312330687
KITLG,0.545968369105
ERCC8,3.7420062108699996
ADAMTS6,0.22650852980900002
H6PD,2.6530600171
VAMP3,5.62935662008
PER3,3.40463068422
UTS2,0.22650852980900002
TNFRSF9,0.0
EPN3,0.21412480535300002
LTBP1,0.8479969065549999
RCN1,7.4563133413600005
ELN,2.2509615735299997
RFC2,5.8806855252600005
ARID1B,5.27575204883
CLPTM1L,6.045268215140001
NEDD4L,6.53962412156
FOXP3,0.464668267003
PPP1R3F,2.11436702495
HEXB,7.545273410689999
PTCD2,3.14241343787
NEXMIF,0.0
JKAMP,5.91001305342
DKK3,3.10097764772
ARHGEF5,0.0
NFE2L3,1.40053792958
MCUR1,3.9030382701099997
LIMA1,5.0152477737
LETMD1,5.54194842533
SLC4A8,0.20163386116999998
LAMC3,2.7136958148400003
PTGER3,0.454175893186
TNIP3,0.0143552929771
MAPK9,3.59096124134
COL23A1,0.0
BCAR1,2.5993177937
FAM160A2,2.2779847473
HERPUD1,6.14506601419
HOMER3,3.6724253419699995
RAD51,3.21256933885
POLQ,2.017921908
PIK3CB,6.076174256719999
CYBA,5.25323293854
THOC3,4.92599941856
HEBP2,2.32192809489
MPHOSPH9,4.33699741661
PLEKHA5,5.3023190509500004
PRSS8,0.0840642647885
SIKE1,4.75221336787
RRP12,3.98185265329
FNIP2,6.37225564845
MSMO1,4.31903981556
TTC17,5.087887100930001
ALX4,0.38956681176299995
FSTL4,0.704871964456
FOXN3,3.8469946869699996
METTL24,0.0
AKR7A2,5.24944534109
MRTO4,5.131342539119999
NNAT,0.464668267003
USE1,6.8507494259
MCF2L2,0.0143552929771
NRIP2,0.650764559117
LAMA3,0.13750352375
AP5M1,3.8278190246199997
ANAPC4,3.81044310385
KCNQ1,0.0
TRAPPC3,5.723012396390001
THRAP3,5.72055209161
PHPT1,7.7666614118199995
ENTPD2,0.0
LY75,0.0
ARID4B,3.95605665241
OPN3,3.4982508675300004
SDCCAG8,5.24564777364
PTPRN,0.111031312389
HHAT,3.15055967658
KIF1B,4.3847405872900005
FOXC1,1.6735564239899998
TBC1D22A,3.6380738371800003
SYNE2,3.5273206078800006
PLEKHH1,4.04351949366
ATP9A,3.59693514239
SPO11,0.0
CBLN4,0.0
CHRDL2,0.0
FAM168A,3.99819550315
RELT,2.31034012061
GALC,2.3812833725
NOP58,6.597084173430001
SZRD1,6.06501215044
KCNH2,0.0
CUL1,5.8392037881
FAM114A2,3.97911075502
CYFIP2,2.31903981556
TAB2,4.1586601753500005
GINM1,4.83794324189
EIF2AK2,3.7376867614099996
USP36,4.09339115325
KMT2C,3.5570424152599998
MCOLN3,1.09085343045
CCDC85A,0.422233000683
PUM2,5.45285896471
MRPL43,5.915042791369999
ITIH4,0.0285691521968
ITIH1,0.0976107966264
HPF1,4.527946098909999
ZFR,5.73470962023
ZNF280C,2.30742852519
NPFFR2,0.0
PHF21B,0.0143552929771
TRAF1,0.17632277264000001
RC3H2,2.82781902462
IL17RB,0.9855004303049999
TRAF3IP2,4.79025073884
GYG2,4.969933274700001
DCBLD2,3.3645724323
SERPINB3,0.0
SOAT1,6.52246383549
PKP2,0.22650852980900002
MSH4,0.042644337408499995
F7,0.17632277264000001
GDI2,6.160678213220001
PRDM1,0.0
ATG5,3.8114710305300004
TMCC3,0.641546029088
PITHD1,4.93640237773
MTA3,5.41210404468
USP13,2.69376571222
ATP11B,3.8389517669499997
LAMC2,0.0
CDK14,0.7739963251109999
SEC61A1,6.64659470958
PPP1R12A,4.16912328148
RASGRF1,0.0143552929771
CAMK2B,0.0703893278914
CROCC,3.09085343045
POLR3E,4.6673244702800005
ATP2B4,5.26303440583
ZC3H11A,6.08831123589
RIOK2,3.7290088703400004
YIPF1,4.2326607567900005
NDC1,4.62527048937
DGKG,2.0908534304499997
FLYWCH1,3.5058909297300005
UNKL,3.24184018356
TBXAS1,0.8479969065549999
PARP12,1.55581615506
ALDH18A1,4.11186596387
TARBP1,4.958378711569999
GATB,4.49888908698
MXD1,1.5058909297299998
CDK17,3.82476785314
DNAJC25,2.41683974191
SLC2A3,3.34056226903
PSD,1.46988597627
