,def
SS18L2,4.46270675067
MPND,2.7048719644599997
MGST1,7.92356519107
CRY1,3.58255600301
PGLYRP1,0.042644337408499995
NFIX,2.40871186103
ST3GAL1,4.21256933885
MMP25,0.918386234446
IL32,6.54117407341
PKD1,3.9717734471900004
MAPK8IP2,0.0565835283664
MED24,4.42021289061
RHOBTB2,1.16349873228
HEATR5B,2.3868109464700002
SEC62,6.06285565521
RPS20,10.5553560386
CSDE1,7.578787795680001
UBE3C,4.58375975364
REV3L,2.71149490665
TENM1,0.250961573533
PAX7,0.0
MASP2,0.464668267003
IYD,0.042644337408499995
FAM76A,1.6959938131099999
TRAF3IP3,0.0565835283664
POMT2,3.3233700690599997
VTA1,4.65821148275
MLXIPL,2.7506065048400004
BAZ1B,4.39985467357
RANBP9,4.87725345388
ETV7,1.0703893278899999
SPRTN,2.21101219349
METTL13,3.74416109557
DYRK4,4.77346892791
ZNF207,6.45811948117
UQCRC1,7.0022524517299995
STARD3NL,4.496973581000001
CD9,7.486151213099999
HHATL,0.0
NCAPD2,3.7300964656
IFFO1,0.516015147004
GIPR,2.04614178164
PHF7,1.4114262457299998
SEMA3G,0.0703893278914
NISCH,3.45417589319
STAB1,0.042644337408499995
FUZ,3.81557542886
SLC6A13,0.0
IDS,5.73389660525
PRSS3,6.7664626524300004
ZNF200,2.63923216325
CD4,0.0285691521968
LRRC23,1.9634741239700002
BTK,0.042644337408499995
HFE,2.19219416528
SCMH1,3.3950627995200002
FYN,4.72410451987
HIVEP2,2.63923216325
FMO1,0.0
ELOA,4.29719141657
LYPLA2,5.70763521955
CLCN6,2.05658352837
MRC2,0.757023246507
SLC6A7,0.0143552929771
TSPAN9,0.799087306074
BTBD7,3.61117238004
APBA3,2.80115865609
MKS1,3.33055840003
ABHD5,3.5716768099699996
ANOS1,3.9717734471900004
AKAP8L,5.26491169307
MBTD1,2.58255600301
UTP18,4.77925972037
RNF216,3.67468661993
TTC19,4.727375938590001
PTBP1,6.67313237215
DPF1,0.604071323669
SYT7,2.7136958148400003
LARS2,2.6530600171
PIK3C2A,3.21723071622
PLAUR,7.52857131887
ANLN,4.550900664649999
WIZ,2.67129337248
RABGAP1,4.352617298959999
DCN,0.0285691521968
QPCTL,2.8217102150300004
PPP5C,5.586164245930001
CEP68,1.37295209791
MAP4K3,4.607034345950001
ZBTB32,0.0840642647885
TYROBP,0.0
TMEM159,5.64875303299
GABRA3,0.48542682717
BRCA1,2.39780296186
ERCC1,5.466627120040001
CD22,1.13093086983
SEMA3B,3.7612852733599995
MBTPS2,4.03474394932
PRICKLE3,2.80115865609
LTF,0.163498732283
EXTL3,1.88752527074
NR1H4,0.0
ELOVL5,5.45384677375
ALOX5,2.8953026213300004
KDM5D,0.0
CALCOCO1,4.04875931192
UBR7,2.99457972422
MAP4K5,4.91886323727
EHD3,0.8953026213330001
PSMC4,7.2519084102399995
MAN2B2,2.71149490665
SLC7A14,0.0
CLDN11,0.111031312389
SLC25A39,6.27444804393
MVP,5.03077747199
NUB1,5.49505552837
PGM3,4.44625622989
RWDD2A,1.30451104181
CLK1,5.74765593293
