X1,genes,pvalue,statistic,padj
1899,expression_SLC6A8,7.25163695357962e-16,0.128460434502895,1.37781102118013e-12
1900,expression_CCND3,7.1138927317971e-16,0.128495075963775,1.35235100831463e-12
1901,expression_RBBP9,6.92157955833202e-16,0.128544563765032,1.31648443199475e-12
1902,expression_GPR61,6.71595248535172e-16,0.128599000346415,1.27804575796243e-12
1903,expression_NIT2,6.6609255521166e-16,0.128613846686792,1.268240225123e-12
1904,expression_TPBG,6.51635099785381e-16,0.128653436927797,1.24201650019094e-12
1905,expression_ERV3-1,6.51635099785381e-16,0.128653436927797,1.24201650019094e-12
1906,expression_NEFL,6.03428730635088e-16,0.128792002771317,1.15134201805175e-12
1907,expression_ZNF777,6.03428730635088e-16,0.128792002771317,1.15134201805175e-12
1908,expression_DLG3,5.96835566952386e-16,0.12881179789182,1.139955932879e-12
1909,expression_CCDC65,5.96835566952357e-16,0.12881179789182,1.139955932879e-12
1910,expression_ZNF808,5.95198405840255e-16,0.128816746671945,1.13742415356073e-12
1911,expression_VASH2,5.93565672936189e-16,0.128821695452071,1.13489756665399e-12
1912,expression_ACOT8,5.74314012799238e-16,0.128881080813579,1.09866270648494e-12
1913,expression_ATP6V0A4,5.66475411245877e-16,0.128905824714208,1.08423393712461e-12
1914,expression_GRAMD4,5.52630877695129e-16,0.128950363735339,1.05828813078617e-12
1915,expression_PTPN13,5.40605058261921e-16,0.128989953976345,1.03579929162984e-12
1916,expression_GRB14,5.2738427531466e-16,0.129034492997476,1.0109956557782e-12
1917,expression_TMEM117,5.25935126341278e-16,0.129039441777602,1.00874357232257e-12
1918,expression_CASP6,5.21611197287037e-16,0.129054288117979,1.00097188759382e-12
1919,expression_KIF1A,5.18748071629194e-16,0.12906418567823,9.95996297528053e-13
1920,expression_ZNF320,5.1590044391035e-16,0.129074083238482,9.91044752751782e-13
1921,expression_ZNF532,5.01891895852409e-16,0.129123571039739,9.6463622382833e-13
1922,expression_PAK1,4.96394101729154e-16,0.129143366160241,9.55062251726878e-13
1923,expression_PRICKLE1,4.96394101729147e-16,0.129143366160241,9.55062251726878e-13
1924,expression_SYNPO2L,4.72379965658845e-16,0.129232444202504,9.09331433893276e-13
1925,expression_ZNF253,4.65915169943177e-16,0.129257188103133,8.97818532480503e-13
1926,expression_MFAP3L,4.65915169943177e-16,0.129257188103133,8.97818532480503e-13
1927,expression_PLGRKT,4.64632719632379e-16,0.129262136883258,8.95811883451226e-13
1928,expression_KIF16B,4.55752518447237e-16,0.129296778344138,8.7914660808472e-13
1929,expression_MYO16,4.5449765754731e-16,0.129301727124264,8.77180479066308e-13
1930,expression_BBS5,4.23040976217671e-16,0.129430395407532,8.16892125076324e-13
1931,expression_ACSS2,4.09256349657281e-16,0.12948978076904,7.90683267537867e-13
1932,expression_RNF31,3.98108280143347e-16,0.129539268570297,7.6954330551709e-13
1933,expression_PLCXD2,3.92647090693828e-16,0.129564012470926,7.59379473401864e-13
1934,expression_CYBC1,3.89405909567062e-16,0.129578858811303,7.53500435012265e-13
1935,expression_PCDH10,3.70505620735689e-16,0.129667936853566,7.17298881744294e-13
1936,expression_CHRNB1,3.62398670462484e-16,0.129707527094571,7.01966224685831e-13
1937,expression_IL22RA1,3.59403881077968e-16,0.129722373434948,6.96524721529101e-13
1938,expression_TBC1D10B,3.55448765440141e-16,0.129742168555451,6.89215156188433e-13
1939,expression_SOWAHC,3.53487335620461e-16,0.129752066115702,6.85765431103695e-13
1940,expression_ZBTB7B,3.50565188856121e-16,0.12976691245608,6.80447031569731e-13
1941,expression_PSEN1,3.48630339582489e-16,0.129776810016331,6.77040119469194e-13
1942,expression_C19orf47,3.40995704082567e-16,0.129816400257337,6.62554653032428e-13
1943,expression_TRIM24,3.40053044605599e-16,0.129821349037462,6.61063118713284e-13
1944,expression_MTMR10,3.38175429141363e-16,0.129831246597714,6.5775120967995e-13
1945,expression_PPM1L,3.26217733423601e-16,0.129895580739348,6.34819709242327e-13
1946,expression_GJC3,3.19952707440517e-16,0.129930222200228,6.22947921386688e-13
1947,expression_MAP2K5,3.19067445476631e-16,0.129935170980353,6.21543383788478e-13
1948,expression_DNAJB5,3.15550490843058e-16,0.129954966100856,6.1500790665312e-13
